code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
1301,食品製造,極洋,（株）極洋,水産・農林業,1937年9月3日,1937年度,http://www.kyokuyo.co.jp/,〒107-0052,東京都港区赤坂３－３－５住友生命山王ビル,東京都,0050_水産・農林業,東証１部
1305,その他金融,ダイワ上場投信－トピックス,ダイワ上場投信－トピックス,--,--,--,--,--,--,--,9999_未定義,東証
1306,その他金融,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸ連動型上場投信,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸ連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1308,その他金融,上場インデックスファンドＴＯＰＩＸ,上場インデックスファンドＴＯＰＩＸ,--,--,--,--,--,--,--,9999_未定義,東証
1309,その他金融,ＮＥＸＴＦＵＮＤＳＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ＮＥＸＴＦＵＮＤＳＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1311,その他金融,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸＣｏｒｅ３０連動型上場投信,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸＣｏｒｅ３０連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1312,その他金融,ＮＥＸＴＦＵＮＤＳラッセル野村小型コア・インデックス連動型上場投信,ＮＥＸＴＦＵＮＤＳラッセル野村小型コア・インデックス連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1313,その他金融,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,--,--,--,--,--,--,--,9999_未定義,東証
1301,食品製造,極洋,（株）極洋,水産・農林業,1937年9月3日,1937年度,http://www.kyokuyo.co.jp/,〒107-0052,東京都港区赤坂３－３－５住友生命山王ビル,東京都,0050_水産・農林業,東証１部
1305,その他金融,ダイワ上場投信－トピックス,ダイワ上場投信－トピックス,--,--,--,--,--,--,--,9999_未定義,東証
1306,その他金融,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸ連動型上場投信,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸ連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1308,その他金融,上場インデックスファンドＴＯＰＩＸ,上場インデックスファンドＴＯＰＩＸ,--,--,--,--,--,--,--,9999_未定義,東証
1309,その他金融,ＮＥＸＴＦＵＮＤＳＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ＮＥＸＴＦＵＮＤＳＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1311,その他金融,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸＣｏｒｅ３０連動型上場投信,ＮＥＸＴＦＵＮＤＳＴＯＰＩＸＣｏｒｅ３０連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1312,その他金融,ＮＥＸＴＦＵＮＤＳラッセル野村小型コア・インデックス連動型上場投信,ＮＥＸＴＦＵＮＤＳラッセル野村小型コア・インデックス連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1313,その他金融,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,--,--,--,--,--,--,--,9999_未定義,東証
1319,その他金融,ＮＥＸＴＦＵＮＤＳ日経３００株価指数連動型上場投信,ＮＥＸＴＦＵＮＤＳ日経３００株価指数連動型上場投信,--,--,--,--,--,--,--,9999_未定義,東証
1320,その他金融,ダイワ上場投信－日経２２５,ダイワ上場投信－日経２２５,--,--,--,--,--,--,--,9999_未定義,東証
